,title,author,publisher,description,min_rank,max_weeks_on_list,title_url
9670,THE MIDNIGHT LINE,Lee Child,Delacorte,Jack Reacher tracks down the owner of a pawned West Point class ring and stumbles upon a large criminal enterprise.,1,9,THE+MIDNIGHT+LINE
9674,TYPHOON FURY,Clive Cussler and Boyd Morrison,Putnam,Juan Cabrillo chases a Filipino insurgent during a megastorm.,14,3,TYPHOON+FURY
9675,THE NOEL DIARY,Richard Paul Evans,Simon & Schuster,A romance writer delves into a stranger's past when his estranged mother leaves her extremely stuffed house to him.,15,2,THE+NOEL+DIARY
9676,EVERY BREATH YOU TAKE,Mary Higgins Clark and Alafair Burke,Simon & Schuster,Laurie Moran investigates the murder of a wealthy widow who was pushed from the roof of the Metropolitan Museum of Art.,10,2,EVERY+BREATH+YOU+TAKE
9677,THE HOUSE OF UNEXPECTED SISTERS,Alexander McCall Smith,Pantheon,"During an investigation, Precious Ramotswe encounters a man from her past and a nurse who has her last name.",8,1,THE+HOUSE+OF+UNEXPECTED+SISTERS
9678,IN THIS MOMENT,Karen Kingsbury,Howard Books,A lawyer defends a public high school principal who starts an after-school Bible study program.,9,1,IN+THIS+MOMENT
9681,DEEP FREEZE,John Sandford,Putnam,Virgil Flowers investigates the death of a local bank’s president.,12,4,DEEP+FREEZE
9684,IN THE MIDST OF WINTER,Isabel Allende,Atria,Three lives intersect after a car accident in Brooklyn.,10,2,IN+THE+MIDST+OF+WINTER
9685,OATHBRINGER,Brandon Sanderson,Tor,The third volume of the Stormlight Archive. The War of Reckoning ends and the Voidbringers return.,1,3,OATHBRINGER
9686,HARDCORE TWENTY-FOUR,Janet Evanovich,Putnam,"When a homeless man is murdered, the bounty hunter Stephanie Plum searches for the killer.",12,6,HARDCORE+TWENTY-FOUR
9687,END GAME,David Baldacci,Grand Central,Jessica Reel and Will Robie fight a dangerous adversary in Colorado.,12,9,END+GAME
9690,ARTEMIS,Andy Weir,Crown,A small-time smuggler living in a lunar colony schemes to pay off an old debt by pulling off a challenging heist.,12,9,ARTEMIS
9697,FUTURE HOME OF THE LIVING GOD,Louise Erdrich,Harper,"As giving birth becomes a matter of state security, a pregnant woman travels to find her Ojibwe family.",13,1,FUTURE+HOME+OF+THE+LIVING+GOD
9700,THE PEOPLE VS. ALEX CROSS,James Patterson,"Little, Brown",Detective Cross takes on a case even though he has been suspended from the department and taken to federal court to stand trial on murder charges.,1,9,THE+PEOPLE+VS.+ALEX+CROSS
9710,THE WHISPERING ROOM,Dean Koontz,Bantam,Former F.B.I. agent and wanted fugitive Jane Hawk tracks down a group that is brainwashing people into committing suicide.,11,1,THE+WHISPERING+ROOM
9720,PAST PERFECT,Danielle Steel,Delacorte,A Manhattan family moves into a mansion in San Francisco and encounters the ghosts of its original inhabitants.,11,2,PAST+PERFECT
9721,TOM CLANCY POWER AND EMPIRE,Marc Cameron,Putnam,President Jack Ryan seeks to identify the hidden forces escalating the tensions between China and the United States.,10,5,TOM+CLANCY+POWER+AND+EMPIRE
9732,YEAR ONE,Nora Roberts,St. Martin's,"When a pandemic strikes and the world spins into chaos, several travelers head west to find a new life.",11,5,YEAR+ONE
9783,THE WANTED,Robert Crais,Putnam,A single mother hires Elvis Cole to investigate her teenage son who is on the run after a deadly crime spree.,9,1,THE+WANTED
9789,"SING, UNBURIED, SING",Jesmyn Ward,Scribner,"A 13-year-old boy comes of age in Mississippi while his black mother takes him and his toddler sister to pick up their white father, who is getting released from the state penitentiary.",10,8,"SING,+UNBURIED,+SING"
9790,THE WOMAN IN THE WINDOW,AJ Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,1,9,THE+WOMAN+IN+THE+WINDOW
9795,ROBICHEAUX,James Lee Burke,Simon & Schuster,A bereaved detective confronts his past and works to clear his name when he becomes a suspect during an investigation into the murder of the man who killed his wife.,10,3,ROBICHEAUX
9796,UNBOUND,Stuart Woods,Putnam,The 44th book in the Stone Barrington series.,7,1,UNBOUND
9804,THE POWER,Naomi Alderman,"Little, Brown",Young women around the world suddenly have the ability to generate harmful electric shocks.,15,1,THE+POWER
9806,THE WIFE BETWEEN US,Greer Hendricks and Sarah Pekkanen,St. Martin's,"The connections linking a hedge fund manager, his ex-wife and his fiancée are explored from several points of view.",11,9,THE+WIFE+BETWEEN+US
9811,THE IMMORTALISTS,Chloe Benjamin,Putnam,Four adolescents learn the dates of their deaths from a psychic and their lives go on different courses.,11,7,THE+IMMORTALISTS
9813,BLOOD FURY,JR Ward,Ballantine,The third book in the Black Dagger Legacy series.,9,1,BLOOD+FURY
9821,CITY OF ENDLESS NIGHT,Douglas Preston and Lincoln Child,Grand Central,A New York City detective and an F.B.I. special agent track down a killer who decapitates numerous victims.,14,4,CITY+OF+ENDLESS+NIGHT
9822,IRON GOLD,Pierce Brown,Del Rey,The fourth book of the Red Rising Saga. A hero of the revolution finds his fate tied up with others as the war continues.,3,1,IRON+GOLD
9830,MUNICH,Robert Harris,Knopf,Two former friends who attended Oxford accompany Hitler and Neville Chamberlain to a meeting in 1938 and are forced to make a consequential decision.,11,2,MUNICH
9836,FALL FROM GRACE,Danielle Steel,Delacorte,A widow left out of her huband's will tries to make a new life as a fashion designer.,11,4,FALL+FROM+GRACE
9844,NEED TO KNOW,Karen Cleveland,Ballantine,A C.I.A. analyst's job and family are threatened when she discovers Russian agents in the United States.,10,1,NEED+TO+KNOW
9850,DARK IN DEATH,JD Robb,St. Martin's,Lieutenant Eve Dallas must find a killer inspired by police thrillers before another victim is murdered.,1,4,DARK+IN+DEATH
9851,STILL ME,Jojo Moyes,Pamela Dorman/Viking,Louisa Clark moves to New York and is torn between high society and the life she enjoys at a vintage clothing store.,10,7,STILL+ME
9857,THE WIFE BETWEEN US,Greer Hendricks and Sarah Pekkanen,St. Martin's,The story of a love triangle is told from several points of view.,11,9,THE+WIFE+BETWEEN+US
9859,THE GRAVE'S A FINE AND PRIVATE PLACE,Alan Bradley,Delacorte,"Flavia de Luce, a young British sleuth, gets involved in solving a murder after experiencing a family tragedy.",10,1,THE+GRAVE%27S+A+FINE+AND+PRIVATE+PLACE
9863,CITY OF ENDLESS NIGHT,Douglas Preston and Lincoln Child,Grand Central,A New York City detective and an F.B.I. special agent track down a killer.,14,4,CITY+OF+ENDLESS+NIGHT
9865,THE GREAT ALONE,Kristin Hannah,St. Martin's,"A former prisoner of war returns from Vietnam and moves his family to Alaska, where they face tough conditions.",1,9,THE+GREAT+ALONE
9866,AN AMERICAN MARRIAGE,Tayari Jones,Algonquin,A newlywed couple's relationship is tested when the husband is sentenced to 12 years in prison.,10,9,AN+AMERICAN+MARRIAGE
9869,LOOK FOR ME,Lisa Gardner,Dutton,Sergeant Detective D.D. Warren teams up with a torture survivor to find a missing teenager whose family members were gunned down.,13,4,LOOK+FOR+ME
9875,FALL FROM GRACE,Danielle Steel,Delacorte,A widow left out of her husband's will tries to make a new life as a fashion designer.,11,4,FALL+FROM+GRACE
9878,"SING, UNBURIED, SING",Jesmyn Ward,Scribner,A 13-year-old boy comes of age while his black mother takes him to pick up his white father from the state penitentiary.,10,8,"SING,+UNBURIED,+SING"
9885,NIGHT MOVES,Jonathan Kellerman,Ballantine,Homicide detective Milo Sturgis enlists the psychologist Alex Delaware to help solve a John Doe case.,13,2,NIGHT+MOVES
9893,THE KREMLIN'S CANDIDATE,Jason Matthews,Scribner,"A counterintelligence chief and her lover, who is a C.I.A. agent, learn of Vladimir Putin’s plan to assassinate a United States official.",14,1,THE+KREMLIN%27S+CANDIDATE
9896,FIFTY FIFTY,James Patterson and Candice Fox,"Little, Brown",Detective Harriet Blue tries to clear her brother's name and save a small Australian town from being massacred.,10,4,FIFTY+FIFTY
9901,LOOK FOR ME,Lisa Gardner,Dutton,Sergeant Detective D. D. Warren teams up with a torture survivor to find a missing teenager whose family was gunned down.,13,4,LOOK+FOR+ME
9904,AGENT IN PLACE,Mark Greaney,Berkley,The seventh book in the Gray Man series. Court Gentry gets the chance to end a brutal dictatorship.,10,1,AGENT+IN+PLACE
9915,RASPBERRY DANISH MURDER,Joanne Fluke,Kensington,"After her husband disappears, Hannah Swensen Barton searches for a killer while trying to fulfill holiday baking orders.",6,1,RASPBERRY+DANISH+MURDER
9918,THE HUSH,John Hart,St. Martin's,"Johnny Merrimon fights to keep the 6,000 acres of once-sacred land in North Carolina he inherited.",9,1,THE+HUSH
9925,THE ESCAPE ARTIST,Brad Meltzer,Grand Central,"Nola Brown, a painter and trained soldier, discovers a military secret that traces back to Harry Houdini.",1,5,THE+ESCAPE+ARTIST
9926,STAR WARS: THE LAST JEDI,Jason Fry,Del Rey,"An adaptation of the film, written with input from its director, Rian Johnson, which includes scenes from alternate versions of the script.",11,2,STAR+WARS:+THE+LAST+JEDI
9932,BURN BRIGHT,Patricia Briggs,Ace,The fifth book in the Alpha and Omega series. Mated werewolves Charles Cornick and Anna Latham answer a call of distress.,8,1,BURN+BRIGHT
9935,THE SHAPE OF WATER,Guillermo del Toro and Daniel Kraus,Feiwel & Friends,A mute janitor working in an aerospace research center develops a relationship with an amphibious man from the Amazon.,11,1,THE+SHAPE+OF+WATER
9939,THE KREMLIN CONSPIRACY,Joel C Rosenberg,Tyndale House,A Secret Service agent and a Russian lawyer cross paths as a nuclear war threatens.,15,1,THE+KREMLIN+CONSPIRACY
9940,THE RISING SEA,Clive Cussler and Graham Brown,Putnam,A scientific team searches the globe for the threat causing sea levels to rise at an alarming rate.,1,3,THE+RISING+SEA
9947,THE FLIGHT ATTENDANT,Chris Bohjalian,Doubleday,"After waking up next to a dead man in a hotel room in Dubai, a binge drinker pieces together the previous night's events.",14,2,THE+FLIGHT+ATTENDANT
9948,CARIBBEAN RIM,Randy Wayne White,Putnam,The 25th book in the Doc Ford series. The marine biologist searches for a state agency official and rare Spanish coins.,9,1,CARIBBEAN+RIM
9955,ACCIDENTAL HEROES,Danielle Steel,Delacorte,Strangers pull together to avert a disaster involving two flights from New York to San Francisco.,1,3,ACCIDENTAL+HEROES
9956,THE PUNISHMENT SHE DESERVES,Elizabeth George,Viking,Detectives Havers and Lynley investigate the death of a deacon accused of a serious crime in a historic medieval town in England.,13,3,THE+PUNISHMENT+SHE+DESERVES
9959,THE BISHOP'S PAWN,Steve Berry,Minotaur,Cotton Malone discovers revelations about the day the Rev. Dr. Martin Luther King Jr. was assassinated.,15,2,THE+BISHOP%27S+PAWN
9965,THE TEMPTATION OF FORGIVENESS,Donna Leon,Atlantic Monthly,The 27th book in the Commissario Guido Brunetti series.,11,1,THE+TEMPTATION+OF+FORGIVENESS
9966,COVERT GAME,Christine Feehan,Berkley,Gino Mazza must save an artificial intelligence expert who tampered with a crime lord's computer network.,12,1,COVERT+GAME
9967,ALTERNATE SIDE,Anna Quindlen,Random House,An incident in her Manhattan neighborhood forces Nora Nolan to reckon with aspects of her life.,13,2,ALTERNATE+SIDE
9970,THE DISAPPEARED,CJ Box,Putnam,A Wyoming game warden teams up with his daughter to find a missing British businesswoman.,1,5,THE+DISAPPEARED
9971,RED ALERT,James Patterson and Marshall Karp,"Little, Brown",The fifth book in the NYPD Red series. Detectives Zach Jordan and Kylie MacDonald investigate the death of a documentary filmmaker and an explosion at a charity benefit.,10,3,RED+ALERT
9974,TO DIE BUT ONCE,Jacqueline Winspear,Harper,"In 1940, months after Britain declared war on Germany, Maisie Dobbs investigates the disappearance of an apprentice working on a government contract.",5,1,TO+DIE+BUT+ONCE
9985,I'VE GOT MY EYES ON YOU,Mary Higgins Clark,Simon & Schuster,A high school guidance counselor tries to uncover the identity of her sister’s murderer.,1,6,I%27VE+GOT+MY+EYES+ON+YOU
9986,THE FEMALE PERSUASION,Meg Wolitzer,Riverhead,The relationship between a college freshman and a famous feminist reveals the challenges of intergenerational feminism.,15,5,THE+FEMALE+PERSUASION
9994,VARINA,Charles Frazier,Ecco,"As the Confederacy and her marriage to Jefferson Davis fall apart, a woman flees Richmond with her children.",10,2,VARINA
9995,CAVE OF BONES,Anne Hillerman,Harper,Tribal police officers search the Navajo Nation for a missing instructor and investigate a troubled girl’s story of finding human remains.,11,1,CAVE+OF+BONES
10000,CIRCE,Madeline Miller,"Little, Brown","Zeus banishes Helios' daughter to an island, where she must choose between living with gods or mortals.",1,4,CIRCE
10001,AFTER ANNA,Lisa Scottoline,St. Martin's,"A woman marries a widower and reunites with her teenage daughter who is murdered soon after, and the husband is put on trial for it.",2,3,AFTER+ANNA
10003,THE THIEF,JR Ward,Ballantine,The 16th book in the Black Dagger Brotherhood series. Sola Morte falls for a man who sells weapons to a group of vampire warriors.,1,4,THE+THIEF
10004,SHOOT FIRST,Stuart Woods,Putnam,Stone Barrington searches for the person who plotted to kill the woman behind a cutting-edge software startup.,11,2,SHOOT+FIRST
10006,THE SIXTH DAY,Catherine Coulter and JT Ellison,Gallery,"The fifth book in the A Brit in the F.B.I. series. After the German vice chancellor dies, special agents investigate one of Dracula’s descendants.",7,1,THE+SIXTH+DAY
10014,MACBETH,Jo Nesbo,Hogarth Shakespeare,"In this adaptation of Shakespeare's tragedy, police in a 1970s industrial town take on a pair of drug lords.",15,1,MACBETH
10015,THE FALLEN,David Baldacci,Grand Central,"Amos Decker, known as the Memory Man, puts his talents toward solving a string of murders in a Rust Belt town.",1,9,THE+FALLEN
10017,NOIR,Christopher Moore,Morrow,"In the summer of 1947, a woman and an Air Force general attract the attention of a San Francisco bartender while a suspicious flying object is spotted near the coast.",3,1,NOIR
10026,THE OVERSTORY,Richard Powers,Norton,Nine people drawn to trees for different reasons fight for the last of the remaining acres of virgin forest.,12,2,THE+OVERSTORY
10027,THEN SHE WAS GONE,Lisa Jewell,Atria,"Ten years after her daughter disappears, a woman tries to get her life in order but remains haunted by unanswered questions.",13,1,THEN+SHE+WAS+GONE
10029,STAR WARS: LAST SHOT,Daniel José Older,Del Rey,Lando Calrissian seeks help from Han Solo to elude Fyzen Gor’s assassins.,15,1,STAR+WARS:+LAST+SHOT
10030,TWISTED PREY,John Sandford,Putnam,The 28th book in the Prey series. A federal marshal looks into the actions of a member of the Senate Intelligence Committee.,1,5,TWISTED+PREY
10032,THE HELLFIRE CLUB,Jake Tapper,"Little, Brown","Charlie Marder, a World War II veteran and unlikely congressman, gets entangled in a dangerous series of events in 1950s D.C.",10,4,THE+HELLFIRE+CLUB
10045,THE 17TH SUSPECT,James Patterson and Maxine Paetro,"Little, Brown",The latest installment in the Women’s Murder Club series. Detective Lindsay Boxer searches for a killer in San Francisco.,1,7,THE+17TH+SUSPECT
10048,THE MARS ROOM,Rachel Kushner,Scribner,A woman is separated from her son when she begins two consecutive life sentences in a California correctional facility.,13,3,THE+MARS+ROOM
10049,THE PERFECT MOTHER,Aimee Molloy,Harper,A missing baby unnerves a group of new mothers who meet in Prospect Park twice a week.,13,2,THE+PERFECT+MOTHER
10050,THE FORGOTTEN ROAD,Richard Paul Evans,Simon & Schuster,"The second book in the Broken Road series. After surviving a plane crash, a man decides to walk the length of Route 66.",6,1,THE+FORGOTTEN+ROAD
10051,ADJUSTMENT DAY,Chuck Palahniuk,Norton,Young men take on geriatric politicians who are pushing the country toward a third world war.,7,1,ADJUSTMENT+DAY
10062,THE HIGH TIDE CLUB,Mary Kay Andrews,St. Martin's,"An eccentric millionaire enlists the attorney Brooke Trappnell to fix old wrongs, which sets up a potential scandal and murder.",12,4,THE+HIGH+TIDE+CLUB
10064,THE CROOKED STAIRCASE,Dean Koontz,Bantam,The rogue F.B.I. agent Jane Hawk is on the lam from the government and a secret group causing a rash of murder-suicides.,10,3,THE+CROOKED+STAIRCASE
10065,WARLIGHT,Michael Ondaatje,Knopf,"In Britain after World War II, a pair of teenage siblings are taken under the tutelage of a mysterious man and his cronies who served during the war.",15,4,WARLIGHT
10073,LOVE AND RUIN,Paula McLain,Ballantine,Martha Gellhorn goes to Madrid to report on the Spanish Civil War and comes to a crossroad in her relationship with Ernest Hemingway.,14,1,LOVE+AND+RUIN
